order_id,order_date,category,channel,region,amount,user_id,status,refund_status
ORD-2026-0708-001,2026-07-08,电子产品,第三方平台,华南,1999.00,U10036,paid,none
ORD-2026-0708-002,2026-07-08,服饰,小程序,华东,499.00,U10037,paid,none
ORD-2026-0708-003,2026-07-08,家居,官网,华北,229.00,U10038,paid,none
ORD-2026-0708-004,2026-07-08,美妆,小程序,华东,899.00,U10039,paid,none
ORD-2026-0708-005,2026-07-08,食品,第三方平台,西南,49.90,U10040,paid,none
ORD-2026-0709-001,2026-07-09,电子产品,官网,华东,2899.00,U10041,paid,none
ORD-2026-0709-002,2026-07-09,服饰,小程序,华南,399.00,U10042,paid,none
ORD-2026-0709-003,2026-07-09,家居,第三方平台,华北,99.00,U10043,paid,none
ORD-2026-0709-004,2026-07-09,美妆,官网,华东,599.00,U10044,paid,none
ORD-2026-0709-005,2026-07-09,食品,小程序,西南,39.90,U10045,paid,none
ORD-2026-0710-001,2026-07-10,电子产品,小程序,华南,1799.00,U10046,paid,none
ORD-2026-0710-002,2026-07-10,服饰,官网,华东,899.00,U10047,paid,none
ORD-2026-0710-003,2026-07-10,家居,小程序,华北,189.00,U10048,paid,none
ORD-2026-0710-004,2026-07-10,美妆,第三方平台,华东,799.00,U10049,paid,none
ORD-2026-0710-005,2026-07-10,食品,官网,西南,89.90,U10050,paid,none
ORD-2026-0711-001,2026-07-11,电子产品,第三方平台,华南,2599.00,U10051,paid,none
ORD-2026-0711-002,2026-07-11,服饰,小程序,华东,499.00,U10052,paid,none
ORD-2026-0711-003,2026-07-11,家居,官网,华北,159.00,U10053,paid,none
ORD-2026-0711-004,2026-07-11,美妆,小程序,华东,1099.00,U10054,paid,none
ORD-2026-0711-005,2026-07-11,食品,第三方平台,西南,59.90,U10055,paid,none
ORD-2026-0712-001,2026-07-12,电子产品,官网,华东,1899.00,U10056,paid,none
ORD-2026-0712-002,2026-07-12,服饰,小程序,华南,399.00,U10057,paid,none
ORD-2026-0712-003,2026-07-12,家居,第三方平台,华北,229.00,U10058,paid,none
ORD-2026-0712-004,2026-07-12,美妆,官网,华东,699.00,U10059,paid,none
ORD-2026-0712-005,2026-07-12,食品,小程序,西南,49.90,U10060,paid,none
ORD-2026-0713-001,2026-07-13,电子产品,小程序,华南,1599.00,U10061,paid,none
ORD-2026-0713-002,2026-07-13,服饰,官网,华东,799.00,U10062,paid,none
ORD-2026-0713-003,2026-07-13,家居,小程序,华北,99.00,U10063,paid,none
ORD-2026-0713-004,2026-07-13,美妆,第三方平台,华东,899.00,U10064,paid,none
ORD-2026-0713-005,2026-07-13,食品,官网,西南,39.90,U10065,paid,none
ORD-2026-0714-001,2026-07-14,电子产品,第三方平台,华南,2299.00,U10066,paid,none
ORD-2026-0714-002,2026-07-14,服饰,小程序,华东,599.00,U10067,paid,none
ORD-2026-0714-003,2026-07-14,家居,官网,华北,189.00,U10068,paid,none
ORD-2026-0714-004,2026-07-14,美妆,小程序,华东,599.00,U10069,paid,none
ORD-2026-0714-005,2026-07-14,食品,第三方平台,西南,69.90,U10070,paid,none
ORD-2026-0715-001,2026-07-15,电子产品,官网,华东,1399.00,U10071,paid,none
ORD-2026-0715-002,2026-07-15,服饰,小程序,华南,499.00,U10072,paid,none
ORD-2026-0715-003,2026-07-15,家居,第三方平台,华北,89.00,U10073,paid,none
ORD-2026-0715-004,2026-07-15,美妆,官网,华东,1099.00,U10074,paid,none
ORD-2026-0715-005,2026-07-15,食品,小程序,西南,49.90,U10075,paid,none
ORD-2026-0716-001,2026-07-16,电子产品,小程序,华南,1899.00,U10076,paid,none
ORD-2026-0716-002,2026-07-16,服饰,官网,华东,899.00,U10077,paid,none
ORD-2026-0716-003,2026-07-16,家居,小程序,华北,229.00,U10078,paid,none
ORD-2026-0716-004,2026-07-16,美妆,第三方平台,华东,799.00,U10079,paid,none
ORD-2026-0716-005,2026-07-16,食品,官网,西南,89.90,U10080,paid,none
ORD-2026-0717-001,2026-07-17,电子产品,第三方平台,华南,2199.00,U10081,paid,none
ORD-2026-0717-002,2026-07-17,服饰,小程序,华东,499.00,U10082,paid,none
ORD-2026-0717-003,2026-07-17,家居,官网,华北,189.00,U10083,paid,none
ORD-2026-0717-004,2026-07-17,美妆,小程序,华东,999.00,U10084,paid,none
ORD-2026-0717-005,2026-07-17,食品,第三方平台,西南,59.90,U10085,paid,none
ORD-2026-0718-001,2026-07-18,电子产品,官网,华东,2599.00,U10086,paid,none
ORD-2026-0718-002,2026-07-18,服饰,小程序,华南,399.00,U10087,paid,none
ORD-2026-0718-003,2026-07-18,家居,第三方平台,华北,99.00,U10088,paid,none
ORD-2026-0718-004,2026-07-18,美妆,官网,华东,699.00,U10089,paid,none
ORD-2026-0718-005,2026-07-18,食品,小程序,西南,49.90,U10090,paid,none
ORD-2026-0719-001,2026-07-19,电子产品,小程序,华南,1699.00,U10091,paid,none
ORD-2026-0719-002,2026-07-19,服饰,官网,华东,799.00,U10092,paid,none
ORD-2026-0719-003,2026-07-19,家居,小程序,华北,159.00,U10093,paid,none
ORD-2026-0719-004,2026-07-19,美妆,第三方平台,华东,899.00,U10094,paid,none
ORD-2026-0719-005,2026-07-19,食品,官网,西南,69.90,U10095,paid,none
ORD-2026-0720-001,2026-07-20,电子产品,第三方平台,华南,2399.00,U10096,paid,none
ORD-2026-0720-002,2026-07-20,服饰,小程序,华东,599.00,U10097,paid,none
ORD-2026-0720-003,2026-07-20,家居,官网,华北,189.00,U10098,paid,none
ORD-2026-0720-004,2026-07-20,美妆,小程序,华东,1099.00,U10099,paid,none
ORD-2026-0720-005,2026-07-20,食品,第三方平台,西南,49.90,U10100,paid,none
